,year,month,day,header,notice,copyright_holder,github_url,copyright_url,github_user
0,2013,02,17,Brython.markdown,True,,"['https://github.com/evandrix/brython', 'https://github.com/evandrix/brython/blob/master/brython.js', 'https://github.com/evandrix']","['http://code.google.com/p/brython/', 'http://code.google.com/p/brython/people/list', 'http://code.google.com/p/brython/source/list?num=25&start=15', 'https://groups.google.com/forum/#!topic/fr.comp.lang.python/6GrfbKn7qPs', 'https://groups.google.com/forum/#!topic/comp.lang.python/LVkkIhLLQqg', 'http://code.google.com/p/brython/source/browse/trunk/brython.js?r=144', 'http://code.google.com/p/brython/source/browse/trunk/LICENCE.txt']",
1,2013,01,11,cometchat.markdown,True,,['https://github.com/anshin/zerozaku/blob/master/cometchat'],"['http://www.cometchat.com', 'Screenshot']",
2,2013,01,11,KBC.markdown,True,,['https://github.com/chrisspang/misc'],,
3,2013,07,02,Codility.md,True,,['https://github.com/felHR85/T3chFest-problems/blob/master/problem11.cs'],,
4,2013,10,14,WHMCS.markdown,True,,['https://github.com/MtimerCMS/whmcs_5.2.8_mtimer'],['http://www.whmcs.com/features/'],
5,2013,07,15,EllisLab.md,True,,['https://github.com/alextebbs/www.alextebbs.com-v2.0/tree/master/system'],['http://ellislab.com/expressionengine'],
6,2013,11,01,Asahi-Kasei.md,True,,"['https://github.com/Zmeya/StarV1277/tree/5cf89ccf425bc4654171db80b1f248d972494a68/mediatek/source/hardware/sensor/lib/akmd8963', 'https://github.com/Zmeya/StarV1277/tree/5cf89ccf425bc4654171db80b1f248d972494a68/mediatek/source/hardware/sensor/lib/akmd8975', 'https://github.com/asturel/android_device_zte_v970/tree/b56cfdbc21493813038cd6d23379859b3cf1840c/sensor/lib/akmd8963', 'https://github.com/Surf1011/android_hardware_rk29/tree/df8ffb49c4b04cf5a4d4b1a8103c72586d916f5a/sensor/normal/akm8975', 'https://github.com/azhe12/azhe_code/tree/a54b5957c26b58dd1a83590e0112f926a5a327a4/summary/sensor%E6%80%BB%E7%BB%93/sensorporting/akm8975_huashan']",['http://www.akm.com/en/product/detail/0001'],
7,2013,06,12,Amazon-Web-Services.md,True,,"['https://github.com/nsudan/ShopSocial', 'https://github.com/nsudan/ShopSocial/blob/master/src/com/amazon/appworks/ha']",,
8,2013,04,22,Pentaho.md,True,,"['https://github.com/marpontes/pentaho480ptbr/blob/master/biserver-ee/tomcat\n/webapps/pentaho/WEB-INF/lib/pentaho-bi-platform-web-4.8.0-GA.jar', 'https://github.com/marpontes/pentaho480ptbr/tree/master/biserver-ee/tomcat/', 'https://github.com/mpontes/pentaho480ptbr/tree/master/biserver-ee/pentaho', 'https://github.com/marpoes/pentaho480ptbr/tree/master/biserver-ee/pentaho', 'https://github.com/marpontesentaho480ptbr/tree/master/jar_sandbox', 'https://github.com/marpontes/pentaho480ptbr/tree/master/jar_sandbox/pentah\no-bi-platform-web-4.8.0-GA', 'https://github.com/marpontes/pentaho480ptbr/tree/master/jar_sandbox/pentah\no-dashboard-4.8.0-GA-obf']",['https://gith.com/marpontes/pentaho480ptbr/tree/master/biserver-ee/pentaho'],
9,2013,07,17,IllustrationETC.md,True,,['https://github.com/nvkelso/illustrator-scripts/tree/master/other-authors/james_talmage/JET_PathScripts'],['http://kelsocartography.com/blog/?p=1885'],
